Number,DateTime,Date,Site6,Site5,Site3,Site2,Site1
185,10/28/2018 15:00,10/28/2018,-0.451,-1.1,0.715,0.135,0.024
186,10/28/2018 15:15,10/28/2018,-0.676,-1.128,0.715,0.135,-0.088
187,10/28/2018 15:30,10/28/2018,-1.071,-1.1,0.742,0.107,-0.171
188,10/28/2018 15:45,10/28/2018,-1.185,-1.071,0.742,0.107,-0.255
189,10/28/2018 16:00,10/28/2018,-1.157,-1.071,0.742,0.107,-0.311
190,10/28/2018 16:15,10/28/2018,-1.071,-1.043,0.77,0.107,-0.311
191,10/28/2018 16:30,10/28/2018,-1.128,-1.015,0.77,0.107,-0.339
192,10/28/2018 16:45,10/28/2018,-1.213,-0.986,0.77,0.107,-0.227
193,10/28/2018 17:00,10/28/2018,-1.213,-0.986,0.797,0.107,-0.395
194,10/28/2018 17:15,10/28/2018,-1.213,-0.93,0.797,0.135,-0.423
195,10/28/2018 17:30,10/28/2018,-1.242,-0.845,0.797,0.135,-0.283
196,10/28/2018 17:45,10/28/2018,-1.27,-0.088,0.797,0.135,-0.199
197,10/28/2018 18:00,10/28/2018,-1.242,-0.004,0.797,0.107,-0.255
198,10/28/2018 18:15,10/28/2018,-1.27,0.024,0.797,0.107,-0.367
199,10/28/2018 18:30,10/28/2018,-1.327,0.051,0.797,0.135,-0.395
200,10/28/2018 18:45,10/28/2018,-1.413,0.051,0.797,0.107,-0.451
201,10/28/2018 19:00,10/28/2018,-1.413,0.051,0.797,0.107,-0.535
202,10/28/2018 19:15,10/28/2018,-1.356,0.051,0.797,0.135,-0.591
203,10/28/2018 19:30,10/28/2018,-1.413,0.051,0.797,0.107,-0.648
204,10/28/2018 19:45,10/28/2018,-1.384,0.051,0.825,0.135,-0.648
205,10/28/2018 20:00,10/28/2018,-1.384,0.024,0.825,0.135,-0.732
206,10/28/2018 20:15,10/28/2018,-1.356,0.024,0.825,0.135,-0.789
207,10/28/2018 20:30,10/28/2018,-1.384,0.024,0.825,0.135,-0.817
208,10/28/2018 20:45,10/28/2018,-1.413,0.024,0.825,0.135,-0.958
209,10/28/2018 21:00,10/28/2018,-1.47,0.024,0.825,0.135,-0.986
210,10/28/2018 21:15,10/28/2018,-1.527,0.024,0.825,0.135,-1.1
211,10/28/2018 21:30,10/28/2018,-1.498,0.024,0.825,0.135,-1.1
212,10/28/2018 21:45,10/28/2018,-1.556,0.024,0.825,0.135,-1.157
213,10/28/2018 22:00,10/28/2018,-1.527,0.024,0.825,0.135,-1.213
214,10/28/2018 22:15,10/28/2018,-1.584,0.024,0.825,0.135,-1.185
215,10/28/2018 22:30,10/28/2018,-1.584,-0.004,0.852,0.135,-1.185
216,10/28/2018 22:45,10/28/2018,-1.613,-0.004,0.852,0.135,-1.185
217,10/28/2018 23:00,10/28/2018,-1.67,-0.004,0.852,0.135,-1.128
218,10/28/2018 23:15,10/28/2018,-1.641,-0.004,0.852,0.135,-1.242
219,10/28/2018 23:30,10/28/2018,-1.67,-0.032,0.852,0.135,-1.185
220,10/28/2018 23:45,10/28/2018,-1.699,-0.032,0.852,0.135,-1.327
221,10/29/2018 0:00,10/29/2018,-1.756,-0.032,0.852,0.135,-1.299
222,10/29/2018 0:15,10/29/2018,-1.727,-0.06,0.852,0.163,-1.299
223,10/29/2018 0:30,10/29/2018,-1.756,-0.06,0.852,0.163,-1.327
224,10/29/2018 0:45,10/29/2018,-1.814,-0.088,0.852,0.163,-1.327
225,10/29/2018 1:00,10/29/2018,-1.842,-0.088,0.852,0.163,-1.356
226,10/29/2018 1:15,10/29/2018,-1.871,-0.116,0.852,0.163,-1.356
227,10/29/2018 1:30,10/29/2018,-1.9,-0.116,0.825,0.163,-1.384
228,10/29/2018 1:45,10/29/2018,-1.929,-0.143,0.797,0.163,-1.356
229,10/29/2018 2:00,10/29/2018,-1.958,-0.171,0.825,0.163,-1.299
230,10/29/2018 2:15,10/29/2018,-1.986,-0.199,0.825,0.163,-1.27
231,10/29/2018 2:30,10/29/2018,-2.015,-0.227,0.825,0.19,-1.384
232,10/29/2018 2:45,10/29/2018,-2.044,-0.255,0.825,0.19,-1.299
233,10/29/2018 3:00,10/29/2018,-2.044,-0.311,0.852,0.163,-1.327
234,10/29/2018 3:15,10/29/2018,-2.073,-0.423,0.852,0.163,-1.299
235,10/29/2018 3:30,10/29/2018,-2.131,-0.591,0.825,0.163,-1.327
236,10/29/2018 3:45,10/29/2018,-2.16,-0.902,0.797,0.19,-1.384
237,10/29/2018 4:00,10/29/2018,-2.16,-1.071,0.77,0.19,-1.327
238,10/29/2018 4:15,10/29/2018,-2.218,-1.128,0.797,0.19,-1.327
239,10/29/2018 4:30,10/29/2018,-2.218,-1.185,0.77,0.19,-1.299
240,10/29/2018 4:45,10/29/2018,-2.247,-1.213,0.797,0.163,-1.299
241,10/29/2018 5:00,10/29/2018,-2.276,-1.242,0.825,0.19,-1.299
242,10/29/2018 5:15,10/29/2018,-2.276,-1.27,0.825,0.19,-1.299
243,10/29/2018 5:30,10/29/2018,-2.305,-1.299,0.825,0.19,-1.299
244,10/29/2018 5:45,10/29/2018,-2.334,-1.327,0.825,0.19,-1.327
245,10/29/2018 6:00,10/29/2018,-2.363,-1.356,0.797,0.19,-1.327
246,10/29/2018 6:15,10/29/2018,-2.392,-1.384,0.797,0.163,-1.327
247,10/29/2018 6:30,10/29/2018,-2.392,-1.413,0.797,0.19,-1.327
248,10/29/2018 6:45,10/29/2018,-2.421,-1.441,0.825,0.163,-1.327
249,10/29/2018 7:00,10/29/2018,-2.45,-1.47,0.825,0.163,-1.356
250,10/29/2018 7:15,10/29/2018,-2.479,-1.498,0.852,0.163,-1.356
251,10/29/2018 7:30,10/29/2018,-2.508,-1.498,0.825,0.163,-1.356
252,10/29/2018 7:45,10/29/2018,-2.508,-1.527,0.852,0.163,-1.384
253,10/29/2018 8:00,10/29/2018,-2.537,-1.556,0.852,0.163,-1.384
254,10/29/2018 8:15,10/29/2018,-2.566,-1.584,0.852,0.163,-1.441
255,10/29/2018 8:30,10/29/2018,-2.566,-1.613,0.852,0.163,-1.384
256,10/29/2018 8:45,10/29/2018,-2.596,-1.613,0.852,0.163,-1.384
257,10/29/2018 9:00,10/29/2018,-2.596,-1.641,0.852,0.163,-1.384
258,10/29/2018 9:15,10/29/2018,-2.625,-1.67,0.88,0.163,-1.356
259,10/29/2018 9:30,10/29/2018,-2.625,-1.67,0.88,0.163,-1.327
260,10/29/2018 9:45,10/29/2018,-2.654,-1.699,0.88,0.163,-1.299
261,10/29/2018 10:00,10/29/2018,-2.654,-1.699,0.88,0.163,-1.299
262,10/29/2018 10:15,10/29/2018,-2.654,-1.727,0.88,0.163,-1.299
263,10/29/2018 10:30,10/29/2018,-2.683,-1.756,0.88,0.163,-1.356
264,10/29/2018 10:45,10/29/2018,-2.683,-1.756,0.88,0.163,-1.327
265,10/29/2018 11:00,10/29/2018,-2.712,-1.785,0.88,0.163,-1.299
266,10/29/2018 11:15,10/29/2018,-2.712,-1.785,0.88,0.163,-1.27
