ID,Sample,Site,Type,Date,DOY,Year,DOC,TDN,TheorAlk,Na,NH4,K,Mg,Ca,Cl,NO3,PO4,SO4,NO3N,NH4N,DIN,DON,Ca,Mg,Na,K,NH4,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,Location,SType,JulianDOY,pH,Water T,conductivity,cond T,Temp Corrected,d2H,d18O
RICK_1,1,Lake Agnes,NORMAL,7/1/2019,182,2019,0.8427,0.4154,424.6037441,0.698,0.001,0.216,1.001,8.532,0.1517,1.7859,0,4.1458,0.40343481,0.0007765,0.40421131,0.01118869,425.748503,82.36988274,30.36133028,5.524536872,0.055437597,4.278904465,28.80256238,0,86.31904191,119.4005088,544.0596905,663.4601992,-64.0067305,544.0042529,119.4005088,424.6037441,O,Outlet,19182,7.35,1.8,40,1.4,1.2,-121.9342939,-17.1131552
RICK_2,2,Lake Agnes,NORMAL,7/1/2019,182,2019,1.182,0.5094,400.4832437,0.486,0,0.204,0.916,7.486,0.1223,2.2338,0.1049,1.6967,0.50461542,0,0.50461542,0.00478458,373.5528942,75.37543715,21.13983741,5.217618157,0,3.449637548,36.02618503,1.104547704,35.32672063,75.90709091,475.2857869,551.1928779,-72.4571583,475.2857869,74.80254321,400.4832437,G2,Mixed,19182,7.24,0.6,32.1,0.2,0,-120.4246086,-17.09612867
RICK_3,3,Lake Agnes,NORMAL,7/1/2019,182,2019,1.232,0.541,342.5160085,0.554,0,0.303,0.614,6.66,0.1291,1.9562,0.0996,1.7771,0.44190558,0,0.44190558,0.09909442,332.3353293,50.52458342,24.09767475,7.749697557,0,3.641440781,31.54911951,1.048741195,37.00071624,73.24001772,414.7072851,487.9473028,-69.98035759,414.7072851,72.19127652,342.5160085,G3,Mixed,19182,7.28,2.1,25,1.4,1.2,-121.2390398,-17.14917287
RICK_4,4,Lake Agnes,NORMAL,7/1/2019,182,2019,1.169,0.5077,330.0901904,0.561,0,0.289,0.515,6.576,0.1229,1.9649,0.0996,1.7804,0.44387091,0,0.44387091,0.06382909,328.1437126,42.3781115,24.402158,7.391625723,0,3.466561363,31.689431,1.048741195,37.06942501,73.27415857,402.3156078,475.5897664,-69.18598181,402.3156078,72.22541737,330.0901904,F,NRG,19182,7.18,1.8,24,1.3,1.1,-122.1012068,-17.20319937
RICK_5,5,Lake Agnes,NORMAL,7/1/2019,182,2019,0.7095,0.1789,78.5346811,0.02,0.098,0.031,0.21,1.33,0.0455,0.2254,0.1071,0.0892,0.05091786,0.076097,0.12701486,0.05188514,66.36726547,17.28039498,0.869952157,0.792873347,5.432884474,1.283389276,3.635196573,1.12771267,1.857219002,7.903517521,90.74337043,98.64688795,-83.97614423,85.31048595,6.775804851,78.5346811,Snow,Snow,19182,,,,,,,
RICK_6,6,Lake Agnes,NORMAL,7/1/2019,182,2019,0.2351,0.09019,21.71452249,0.052,0.03,0.088,0.005,0.517,0.0715,0.241,0.1741,0.1491,0.0544419,0.023295,0.0777369,0.0124531,25.79840319,0.411437976,2.261875608,2.250737244,1.6631279,2.016754576,3.886789592,1.833191185,3.104387368,10.84112272,32.38558192,43.22670464,-49.8406237,30.72245402,9.007931536,21.71452249,Snow,Snow,19182,,,,,,,
RICK_7,7,Lake Agnes,NORMAL,7/1/2019,182,2019,0.275,0.1813,6.127018451,0.092,0.08,0.103,0.005,0.237,0.1008,0.3675,0.008,0.191,0.08301825,0.06212,0.14513825,0.03616175,11.82634731,0.411437976,4.001779922,2.634385638,4.435007734,2.843200857,5.926950935,0.084236241,3.976780598,12.83116863,23.30895858,36.14012721,-28.99212248,18.87395084,12.74693239,6.127018451,Snow,Snow,19182,,,,,,,
RICK_9,9,Lake Agnes,NORMAL,7/15/2019,196,2019,0.8687,0.2765,334.3375629,0.572,0.009,0.181,0.672,6.857,0.1418,1.1319,0,3.3803,0.25569621,0.0069885,0.26268471,0.01381529,342.1656687,55.29726394,24.88063169,4.629357287,0.49893837,3.999661524,18.25500888,0,70.38068825,92.63535866,427.4718599,520.1072186,-64.37836071,426.9729216,92.63535866,334.3375629,O,Outlet,19196,7.68,4.4,33.1,3.9,3.7,-121.8898054,-17.0512703
RICK_10,10,Lake Agnes,NORMAL,7/15/2019,196,2019,0.4933,0.3194,450.9833718,0.449,0.005,0.203,1.185,7.905,0.0771,1.3506,0,2.0054,0.30510054,0.0038825,0.30898304,0.01041696,394.4610778,97.51080025,19.53042592,5.192041598,0.277187983,2.17471018,21.78214948,0,41.7541142,65.71097385,516.9715336,582.6825074,-77.445359,516.6943456,65.71097385,450.9833718,G2,Mixed,19196,7.73,1.1,50,0.4,0.2,-127.6034884,-17.9461456
RICK_11,11,Lake Agnes,NORMAL,7/15/2019,196,2019,0.6921,0.2704,285.3208832,0.517,0.007,0.27,0.394,5.844,0.1727,1.1134,0,2.1749,0.25151706,0.0054355,0.25695256,0.01344744,291.6167665,32.42131249,22.48826326,6.905671091,0.388063177,4.871237977,17.95664536,0,45.28324672,68.11113006,353.8200765,421.9312065,-67.71458048,353.4320133,68.11113006,285.3208832,F,NRG,19196,7.66,5.9,32,5.2,5,-126.6240927,-17.737898
